iso_a3,continent,region_id,country,income_id,gdp,population,total_waste,composition,percent
COD,Africa,Sub-Saharan_Africa,"Congo, Dem. Rep.",LIC,1055.572998046875,78736152,14385226.02,plastic,NA
COD,Africa,Sub-Saharan_Africa,"Congo, Dem. Rep.",LIC,1055.572998046875,78736152,14385226.02,rubber_leather,NA
COD,Africa,Sub-Saharan_Africa,"Congo, Dem. Rep.",LIC,1055.572998046875,78736152,14385226.02,wood,NA
COD,Africa,Sub-Saharan_Africa,"Congo, Dem. Rep.",LIC,1055.572998046875,78736152,14385226.02,yard_garden_green_waste,NA
COG,Africa,Sub-Saharan_Africa,"Congo, Rep.",LMC,4899.57958984375,2648507,451200,food_organic_waste,NA
COG,Africa,Sub-Saharan_Africa,"Congo, Rep.",LMC,4899.57958984375,2648507,451200,glass,NA
COG,Africa,Sub-Saharan_Africa,"Congo, Rep.",LMC,4899.57958984375,2648507,451200,metal,NA
COG,Africa,Sub-Saharan_Africa,"Congo, Rep.",LMC,4899.57958984375,2648507,451200,other,NA
COG,Africa,Sub-Saharan_Africa,"Congo, Rep.",LMC,4899.57958984375,2648507,451200,paper_cardboard,NA
COG,Africa,Sub-Saharan_Africa,"Congo, Rep.",LMC,4899.57958984375,2648507,451200,plastic,NA
COG,Africa,Sub-Saharan_Africa,"Congo, Rep.",LMC,4899.57958984375,2648507,451200,rubber_leather,NA
COG,Africa,Sub-Saharan_Africa,"Congo, Rep.",LMC,4899.57958984375,2648507,451200,wood,NA
COG,Africa,Sub-Saharan_Africa,"Congo, Rep.",LMC,4899.57958984375,2648507,451200,yard_garden_green_waste,NA
CIV,Africa,Sub-Saharan_Africa,Côte d’Ivoire,LMC,3660.90283203125,20401332,4440814.27,food_organic_waste,NA
CIV,Africa,Sub-Saharan_Africa,Côte d’Ivoire,LMC,3660.90283203125,20401332,4440814.27,glass,NA
CIV,Africa,Sub-Saharan_Africa,Côte d’Ivoire,LMC,3660.90283203125,20401332,4440814.27,metal,NA
CIV,Africa,Sub-Saharan_Africa,Côte d’Ivoire,LMC,3660.90283203125,20401332,4440814.27,other,NA
CIV,Africa,Sub-Saharan_Africa,Côte d’Ivoire,LMC,3660.90283203125,20401332,4440814.27,paper_cardboard,NA
CIV,Africa,Sub-Saharan_Africa,Côte d’Ivoire,LMC,3660.90283203125,20401332,4440814.27,plastic,NA
CIV,Africa,Sub-Saharan_Africa,Côte d’Ivoire,LMC,3660.90283203125,20401332,4440814.27,rubber_leather,NA
CIV,Africa,Sub-Saharan_Africa,Côte d’Ivoire,LMC,3660.90283203125,20401332,4440814.27,wood,NA
CIV,Africa,Sub-Saharan_Africa,Côte d’Ivoire,LMC,3660.90283203125,20401332,4440814.27,yard_garden_green_waste,NA
DJI,Africa,Middle_East_North_Africa,Djibouti,LMC,6596.775390625,746221,114997.24900398408,food_organic_waste,NA
DJI,Africa,Middle_East_North_Africa,Djibouti,LMC,6596.775390625,746221,114997.24900398408,glass,NA
DJI,Africa,Middle_East_North_Africa,Djibouti,LMC,6596.775390625,746221,114997.24900398408,metal,NA
DJI,Africa,Middle_East_North_Africa,Djibouti,LMC,6596.775390625,746221,114997.24900398408,other,NA
DJI,Africa,Middle_East_North_Africa,Djibouti,LMC,6596.775390625,746221,114997.24900398408,paper_cardboard,NA
